Timestamp,Reporting Entity,Reporting User,Platform,URL,Report Type,Answer Date,Platform Decision,Policy,Appeal
2023-01-03 16:43:58,VOST Europe,Catherine Brown,TikTok,https://tiktok.com/05ca4a35-30c1-4e91-9f5d-debc63a6dd91,Illegal Content,2023-01-14 16:43:58,Removed,Policy X,No
2023-01-05 04:22:42,VOST Europe,Kelly Robinson,Google,https://google.com/7f010735-239e-4f96-b86f-3588ceccda6d,Disinformation,2023-01-21 04:22:42,No Action,Policy Z,Yes
2023-01-06 06:28:00,VOST Europe,Rachel French,Bing,https://bing.com/d5eea34e-b961-4b79-ac00-2c7edf3bd336,Platform Manipulation,2023-01-14 06:28:00,Demoted,Policy Z,No
2023-01-07 08:16:11,VOST Europe,Cathy Rodriguez,Google,https://google.com/8926537a-23a7-415c-beae-e154c73b439c,Disinformation,2023-01-31 08:16:11,No Action,Policy Z,No
2023-01-07 09:38:04,VOST Europe,Michael Moreno,Facebook,https://facebook.com/3714c43e-a832-4951-a7eb-a4bdc6f848a0,Platform Manipulation,2023-01-09 09:38:04,Removed,Policy W,No
2023-01-12 11:12:57,VOST Europe,Lucas Mason,Bing,https://bing.com/51a36745-0d01-4354-9301-f7ad832b1809,Illegal Content,2023-01-22 11:12:57,No Action,Policy Y,No
2023-01-20 18:05:22,VOST Europe,Amy Alexander,Instagram,https://instagram.com/e8855266-a504-446f-bc49-325f95d73912,Illegal Content,2023-01-29 18:05:22,Demoted,Policy X,No
2023-01-29 18:29:50,VOST Europe,Thomas Russell,YouTube,https://youtube.com/84090e5d-ecf2-40ff-9a9e-ff23ed36f96e,Illegal Content,2023-02-24 18:29:50,Demoted,Policy X,No
2023-01-30 15:59:10,VOST Europe,Lisa Chavez,Google,https://google.com/c61de233-4605-4d6f-a794-072933547bfa,Disinformation,2023-02-28 15:59:10,Demoted,Policy X,No
2023-02-11 11:16:03,VOST Europe,Melissa Jones,Google,https://google.com/78770caa-8187-40a2-819a-56e07e30efbb,Platform Manipulation,2023-03-09 11:16:03,Demoted,Policy Y,No
2023-02-14 05:28:40,VOST Europe,Edgar White,LinkedIn,https://linkedin.com/01c6cb40-af71-4fed-bd28-243fc596dd92,Platform Manipulation,2023-03-11 05:28:40,Demoted,Policy X,No
2023-02-16 19:45:48,VOST Europe,Matthew Johnson,LinkedIn,https://linkedin.com/55e27765-8e74-443c-871f-10d57afd80dd,DSA,2023-03-09 19:45:48,Removed,Policy X,No
2023-02-17 20:28:55,VOST Europe,Alicia Mills,WhatsApp,https://whatsapp.com/2a2c0f0b-de72-42f8-9fd8-8f412c1514af,Platform Manipulation,2023-03-04 20:28:55,No Action,Policy Y,No
2023-02-18 06:49:58,VOST Europe,Mary Koch,Bing,https://bing.com/d77904d9-4478-44ce-8175-88664201c356,Disinformation,2023-03-01 06:49:58,No Action,Policy Y,Yes
2023-03-08 15:48:04,VOST Europe,Kyle Everett,Bing,https://bing.com/cacb5bd3-9831-4a6a-b770-a651ed78c6f7,Illegal Content,2023-03-18 15:48:04,Demoted,Policy Y,No
2023-03-10 13:08:46,VOST Europe,Matthew Abbott,Google,https://google.com/bd76dec5-d520-4ec3-ba5d-69a6eab3182a,Disinformation,2023-03-24 13:08:46,Demoted,Policy X,No
2023-03-14 17:19:43,VOST Europe,Amanda Rogers,WhatsApp,https://whatsapp.com/844930e4-2be1-42e0-bacf-2cbeb33e23ed,Spam,2023-04-13 17:19:43,Demoted,Policy Y,No
2023-03-18 09:27:01,VOST Europe,Adam White,Facebook,https://facebook.com/0111d5d7-47f0-4d10-9a30-069601944678,DSA,2023-04-04 09:27:01,Demoted,Policy X,No
2023-03-21 08:49:16,VOST Europe,Ana Ward,LinkedIn,https://linkedin.com/ba9cfa6a-ec91-4fd5-a9ba-b92fcd60b464,Platform Manipulation,2023-03-23 08:49:16,Removed,Policy Z,No
2023-03-21 11:10:16,VOST Europe,Victoria James,Bing,https://bing.com/0bb1a599-921e-4f50-82d8-c98b8b417eac,Illegal Content,2023-04-17 11:10:16,Demoted,Policy Y,No
2023-03-23 21:46:29,VOST Europe,Daniel Mccoy,Facebook,https://facebook.com/574ab327-7edc-4afa-97e2-3f0b2873ebc8,Illegal Content,2023-04-12 21:46:29,Removed,Policy Y,No
2023-03-26 02:45:48,VOST Europe,Cheryl Lawrence,WhatsApp,https://whatsapp.com/d59adb7c-c596-4b1c-8b58-5a972c6b2ece,Illegal Content,2023-04-17 02:45:48,Removed,Policy Y,No
2023-03-27 19:56:22,VOST Europe,Christina Griffith,Instagram,https://instagram.com/6e90db23-4b75-4e49-8f62-f3395814e40b,Illegal Content,2023-04-19 19:56:22,Demoted,Policy X,No
2023-03-30 17:38:20,VOST Europe,Amy Dunn,YouTube,https://youtube.com/9c4bce1d-2cea-4b54-ab40-ea31a8242128,Illegal Content,2023-04-10 17:38:20,Demoted,Policy Y,No
2023-04-02 21:17:10,VOST Europe,Samuel Hansen DDS,WhatsApp,https://whatsapp.com/009ba8f6-acb5-494d-a1fe-03bd5d0f5a05,Spam,2023-04-03 21:17:10,No Action,Policy X,No
2023-04-08 18:18:02,VOST Europe,Suzanne Walker,YouTube,https://youtube.com/e540318f-62dd-496e-974a-3d73ab42e3da,Disinformation,2023-05-08 18:18:02,Demoted,Policy Z,No
2023-04-08 20:07:48,VOST Europe,Danielle Hall,TikTok,https://tiktok.com/e06638fb-cf61-4ab5-878e-ccc445c360a8,Spam,2023-04-29 20:07:48,Removed,Policy X,No
2023-04-17 16:56:27,VOST Europe,David Gallagher,Bing,https://bing.com/c6298f20-5548-4378-b438-e4aae44b99b3,Illegal Content,2023-04-25 16:56:27,Demoted,Policy X,No
2023-04-21 01:52:27,VOST Europe,Connor Townsend,YouTube,https://youtube.com/d92dc173-b16d-4b36-bac2-087db7bd8d87,DSA,2023-05-18 01:52:27,No Action,Policy Y,No
2023-04-26 23:42:09,VOST Europe,Carrie Schneider,Google,https://google.com/0772f245-c902-4f05-8acd-dcd7fa79457a,Illegal Content,2023-05-25 23:42:09,No Action,Policy Z,No
2023-04-27 00:09:04,VOST Europe,Bryan Pratt,YouTube,https://youtube.com/db4a0df8-8e5a-4ea7-8aa7-1951ff14f246,Disinformation,2023-04-29 00:09:04,Demoted,Policy X,No
2023-04-30 02:02:48,VOST Europe,Ethan Peck,WhatsApp,https://whatsapp.com/eb8302cb-1c15-45d9-af9a-13e93cab5f5d,Spam,2023-05-06 02:02:48,Demoted,Policy Y,No
2023-05-02 11:23:30,VOST Europe,Randy Neal,Facebook,https://facebook.com/3f54af35-66f7-4dde-93d7-83ae61c70437,Spam,2023-05-19 11:23:30,No Action,Policy X,No
2023-05-05 07:17:29,VOST Europe,Billy Marks,YouTube,https://youtube.com/5708300e-c008-4bcd-9080-6d84ced44d73,Spam,2023-05-12 07:17:29,Removed,Policy Y,No
2023-05-07 13:37:23,VOST Europe,Ariel Gill,WhatsApp,https://whatsapp.com/e9046877-cbed-43ce-9c93-fcd8f3164568,Illegal Content,2023-06-03 13:37:23,No Action,Policy Y,Yes
2023-05-07 16:56:34,VOST Europe,Jonathan Griffith,YouTube,https://youtube.com/281a32d0-935d-4118-ba0c-b9dd62c5eb30,Disinformation,2023-05-11 16:56:34,No Action,Policy Y,Yes
2023-05-08 06:45:05,VOST Europe,Daniel Hamilton,WhatsApp,https://whatsapp.com/d988db0d-c344-4194-9b21-34100b0b3daa,Spam,2023-05-13 06:45:05,Removed,Policy Z,No
2023-05-10 11:22:01,VOST Europe,Cassandra Anderson,WhatsApp,https://whatsapp.com/7805f59b-41a7-4f9a-8486-5467205169ad,DSA,2023-05-22 11:22:01,Demoted,Policy Y,No
2023-05-13 17:51:54,VOST Europe,Bonnie Sellers,Google,https://google.com/e4da111b-ac61-4551-a7d7-f4183c9cc02a,Spam,2023-05-20 17:51:54,Removed,Policy W,No
2023-05-15 02:42:46,VOST Europe,Paul Lewis,Google,https://google.com/7754d709-0265-492c-8bcc-b763bed68750,Platform Manipulation,2023-05-17 02:42:46,Demoted,Policy X,No
2023-05-24 00:17:37,VOST Europe,Juan Green,LinkedIn,https://linkedin.com/21aebe7b-f10c-44a5-aec8-6ebb3ce4276b,Platform Manipulation,2023-05-31 00:17:37,No Action,Policy W,Yes
2023-05-24 18:59:32,VOST Europe,Alicia Parks,Bing,https://bing.com/24b1abc9-bb5b-4690-95af-bb1f9b0f60d1,Platform Manipulation,2023-06-15 18:59:32,Demoted,Policy Y,No
2023-05-28 21:33:47,VOST Europe,Angelica Madden,Facebook,https://facebook.com/c5d805f7-0aaa-4b98-8a1d-a7fdd6ae76c5,Platform Manipulation,2023-06-27 21:33:47,Removed,Policy Z,No
2023-06-02 03:34:39,VOST Europe,Dana Norton,YouTube,https://youtube.com/792b6f44-752b-4dcd-9b95-44eefb77cd06,Platform Manipulation,2023-06-17 03:34:39,No Action,Policy Y,Yes
2023-06-03 00:44:46,VOST Europe,Bruce Adams,LinkedIn,https://linkedin.com/cbd3576b-b1ba-429e-81ea-97f832016164,Disinformation,2023-06-14 00:44:46,Removed,Policy Z,No
2023-06-08 01:34:46,VOST Europe,William Young,Facebook,https://facebook.com/709b5044-633c-4e5a-8509-e736fc5d7df3,Disinformation,2023-06-29 01:34:46,Removed,Policy X,No
2023-06-12 06:05:56,VOST Europe,Crystal Anderson,Instagram,https://instagram.com/36383e6b-78da-4e27-bce3-08f9fb297834,Disinformation,2023-06-18 06:05:56,Demoted,Policy W,No
2023-06-17 19:27:43,VOST Europe,Teresa Davila,LinkedIn,https://linkedin.com/b30cbd0e-9bc8-4639-b980-ef4beb6fc45a,Spam,2023-07-06 19:27:43,Demoted,Policy Y,No
2023-06-20 18:47:34,VOST Europe,April Edwards,Instagram,https://instagram.com/15a94f75-f45e-4632-96e8-90fde5e3ac2f,Spam,2023-07-01 18:47:34,Demoted,Policy W,No
2023-06-26 15:04:20,VOST Europe,Karen Crane,Instagram,https://instagram.com/861e657d-eefc-45d0-a77a-86d8c575e53d,Disinformation,2023-07-24 15:04:20,No Action,Policy Y,Yes
2023-07-03 19:06:44,VOST Europe,Ryan Ramirez,TikTok,https://tiktok.com/cea48ebb-28a7-40e1-b715-258b7bfdbf0a,Illegal Content,2023-07-13 19:06:44,Removed,Policy X,No
