Timestamp,Reporting Entity,Reporting User,Platform,URL,Report Type,Screenshot URL,Answer Date,Platform Decision,Policy,Appeal
1/1/2023 7:40,VOST Europe,Christine Wilson,TikTok,https://tiktok.com/fe15f7e6-5616-408c-b68b-dafdf86722ba,Illegal Content,https://www.google.com/,1/21/2023 7:40,No Action,Policy X,No
1/1/2023 15:15,VOST Europe,Nicole Snow,Instagram,https://instagram.com/b1cb14fc-921b-467f-991c-bae924050afb,Spam,https://www.google.com/,1/16/2023 15:15,Demoted,Policy Z,No
1/2/2023 0:31,VOST Europe,Wayne Boyd,YouTube,https://youtube.com/a37759fb-1126-4fac-a9a5-41f49c964eae,DSA,https://www.google.com/,1/3/2023 0:31,Demoted,Policy W,No
1/2/2023 8:43,VOST Europe,Sonya Luna,LinkedIn,https://linkedin.com/15776fad-55a8-46e3-a9fb-957dbc152752,Illegal Content,https://www.google.com/,1/31/2023 8:43,No Action,Policy X,No
1/2/2023 21:43,VOST Europe,Brittney Love,Instagram,https://instagram.com/bb0bf573-e0e5-44fe-8bd9-29844465fb4b,Platform Manipulation,https://www.google.com/,1/27/2023 21:43,Removed,Policy Z,No
1/3/2023 0:53,VOST Europe,Paula Love,Facebook,https://facebook.com/5236a720-51d9-4951-a3a0-378cd28c7452,Disinformation,https://www.google.com/,1/17/2023 0:53,Removed,Policy X,No
1/3/2023 8:55,VOST Europe,Steven Newman,LinkedIn,https://linkedin.com/c4cc7264-fbb6-44d5-9945-4b14999e0d26,Disinformation,https://www.google.com/,1/15/2023 8:55,No Action,Policy X,Yes
1/4/2023 23:20,VOST Europe,Megan Allen,Facebook,https://facebook.com/6700cf21-17ce-4b3d-9107-b13a7a297df2,Spam,https://www.google.com/,1/26/2023 23:20,Removed,Policy X,No
1/5/2023 7:22,VOST Europe,Jennifer Booker,WhatsApp,https://whatsapp.com/2f85f81c-51e1-4c0a-8303-b6fd61171cda,Disinformation,https://www.google.com/,1/30/2023 7:22,No Action,Policy W,No
1/6/2023 16:25,VOST Europe,Kathy Oconnor,WhatsApp,https://whatsapp.com/76e84706-24bb-4450-812f-2749e964151f,Spam,https://www.google.com/,1/23/2023 16:25,Demoted,Policy Z,No
1/6/2023 23:16,VOST Europe,Joshua Hill,LinkedIn,https://linkedin.com/f1456653-0aea-46c0-8782-a7e46265fe5b,Disinformation,https://www.google.com/,1/13/2023 23:16,Demoted,Policy Y,No
1/7/2023 8:40,VOST Europe,Paul Reese,LinkedIn,https://linkedin.com/392f5768-4a8a-43f0-91d5-6ac11bc3be6f,Disinformation,https://www.google.com/,2/2/2023 8:40,No Action,Policy Y,Yes
1/8/2023 11:34,VOST Europe,Richard Dixon,YouTube,https://youtube.com/3051d2af-e187-4acc-bea9-e7656839342c,Spam,https://www.google.com/,1/22/2023 11:34,No Action,Policy X,Yes
1/8/2023 23:08,VOST Europe,Stacey Williams,Instagram,https://instagram.com/f57ef430-f003-455c-8e3b-bc1ba816542a,Disinformation,,,,,
1/9/2023 12:51,VOST Europe,Mr. James Chavez PhD,YouTube,https://youtube.com/3ac1366b-b8b1-4630-ae08-5aedede9c076,Platform Manipulation,https://www.google.com/,1/24/2023 12:51,No Action,Policy X,Yes
1/9/2023 17:47,VOST Europe,Karen Underwood,WhatsApp,https://whatsapp.com/a07b33fd-38dc-45b2-9042-59d6c621ab00,Disinformation,,,,,
1/9/2023 17:49,VOST Europe,Ian Ray,Google,https://google.com/784bae1f-92b9-49ce-b8e0-b2fde809a576,Illegal Content,https://www.google.com/,1/24/2023 17:49,No Action,Policy Y,No
1/9/2023 23:26,VOST Europe,Lindsey Smith,LinkedIn,https://linkedin.com/62c745c7-3060-4b91-a7ff-bec8d8c145a4,Platform Manipulation,https://www.google.com/,1/12/2023 23:26,No Action,Policy Y,No
1/10/2023 2:28,VOST Europe,Tony Smith,TikTok,https://tiktok.com/7670c7fe-6fd5-442e-b664-e5579fe90ecb,Spam,https://www.google.com/,1/12/2023 2:28,Removed,Policy W,No
1/10/2023 5:46,VOST Europe,Stephanie Smith,Instagram,https://instagram.com/31a17de7-798e-4019-ba3e-287d1236957f,Spam,,,,,
1/10/2023 19:30,VOST Europe,Richard Fox,Bing,https://bing.com/22bf126b-2a7e-4239-8203-d90261825b1c,DSA,,,,,
1/10/2023 20:14,VOST Europe,Joseph Cooke,Google,https://google.com/908c2779-d83f-420d-ae83-6be4c1826bc1,Illegal Content,https://www.google.com/,1/24/2023 20:14,No Action,Policy W,Yes
1/10/2023 20:20,VOST Europe,Paula Harvey,Facebook,https://facebook.com/fbc52ef9-6c31-4be4-a2b4-26a19b9486f6,Spam,https://www.google.com/,1/25/2023 20:20,Removed,Policy X,No
1/11/2023 1:05,VOST Europe,Russell Lin,WhatsApp,https://whatsapp.com/f7ca987d-8080-448c-a12d-e9bb5846ef43,DSA,,,,,
1/12/2023 6:00,VOST Europe,Marcus Robinson,WhatsApp,https://whatsapp.com/72957dc2-1b1b-4255-ab88-0b040ab04a98,Spam,https://www.google.com/,2/1/2023 6:00,Demoted,Policy Y,No
1/12/2023 20:25,VOST Europe,Joshua Acevedo,Facebook,https://facebook.com/296772cc-7923-4083-ba99-b43bbe0f4844,Spam,https://www.google.com/,1/19/2023 20:25,Demoted,Policy Y,No
1/14/2023 9:58,VOST Europe,Alyssa Alvarez,YouTube,https://youtube.com/90882468-7964-4817-8431-1c91d457531e,Spam,https://www.google.com/,1/17/2023 9:58,Demoted,Policy Y,No
1/14/2023 14:40,VOST Europe,Terri White,Facebook,https://facebook.com/463d7024-2773-45d8-b2e2-51813a4d8892,Platform Manipulation,https://www.google.com/,1/16/2023 14:40,No Action,Policy Z,Yes
1/14/2023 16:49,VOST Europe,Sara Haynes,TikTok,https://tiktok.com/2454615f-69a4-465f-966a-dd3447ac7736,DSA,https://www.google.com/,1/28/2023 16:49,No Action,Policy W,No
1/14/2023 17:35,VOST Europe,Angela Smith,Facebook,https://facebook.com/aecec580-0f1c-4dad-9185-c2fac06fa6d6,DSA,,,,,
1/14/2023 19:56,VOST Europe,Brenda Weber,Instagram,https://instagram.com/812efb29-2327-4df3-8d83-46a01493e941,Spam,https://www.google.com/,2/13/2023 19:56,Demoted,Policy X,No
1/15/2023 15:21,VOST Europe,Larry Vasquez,TikTok,https://tiktok.com/95026f21-687b-4844-bd55-5ee2da5be20a,Illegal Content,https://www.google.com/,1/21/2023 15:21,Demoted,Policy X,No
